Country,Year,GDP,Urban_population,Industry,Business,Mining,Manufacturing,Electricity_supply,Water_supply,Construction,Retail trade,Transportation,Accommodation,Information,Financial,Real estate,Professional_scientific,Administrative,Public_administration,Education,Human_health,Arts,Other,UrbanizationCategory,kmeans_cluster,hierarchy_cluster
Slovakia,2016,14590,53.81,19.2,20.0,17.6,26.1,10.0,-4.6,3.8,28.6,3.5,11.6,26.3,36.2,26.4,15.8,8.6,19.8,14.8,23.8,19.3,-10.8,0,2,1
Slovakia,2017,15000,53.75,20.1,21.0,20.6,25.8,10.8,-2.1,6.8,31.1,7.2,13.3,27.5,34.9,24.0,16.7,7.8,23.3,13.7,26.5,22.6,-8.0,0,2,1
Slovakia,2018,15580,53.73,19.8,20.0,21.5,25.2,14.9,2.2,11.0,26.7,8.1,12.1,25.6,33.9,19.1,16.4,4.9,19.0,11.8,26.8,21.0,-9.4,0,2,1
Slovakia,2019,15960,53.73,18.4,19.0,18.2,25.4,12.0,-1.0,8.0,25.9,8.9,9.8,27.7,31.4,17.0,13.1,0.9,19.4,11.6,26.1,11.8,-4.0,0,2,1
Slovakia,2020,15400,53.76,15.8,18.1,15.6,24.7,9.8,-2.8,8.0,25.1,8.2,11.1,27.3,31.0,16.3,12.9,1.7,20.0,12.2,24.6,9.6,-6.7,0,2,1
Slovakia,2021,15920,53.82,16.6,18.4,15.0,25.0,10.3,-4.3,2.7,24.6,7.5,10.5,26.6,30.8,16.5,11.3,2.3,18.0,12.7,22.2,11.7,-8.5,0,2,1
Slovenia,2010,17750,52.66,0.9,6.9,16.5,12.9,5.6,-16.3,-24.8,11.3,-15.2,13.9,14.6,22.8,8.9,13.9,12.7,5.5,9.7,19.0,20.1,36.8,0,2,1
Slovenia,2011,17870,52.88,3.3,8.1,16.5,13.6,1.0,-15.6,-21.4,13.1,-20.0,11.1,14.0,22.2,7.3,11.0,11.0,5.0,10.7,18.9,19.6,32.5,0,2,1
Slovenia,2012,17360,53.11,4.5,7.9,17.0,13.4,3.3,-12.6,-21.9,13.5,-21.9,10.0,14.3,21.7,1.1,5.9,8.6,4.9,11.1,19.7,17.0,32.0,0,2,1
Slovenia,2013,17160,53.33,6.3,8.5,14.3,13.9,-0.8,-8.3,-20.6,14.2,-17.9,8.3,14.2,22.5,-5.6,1.8,7.4,3.5,12.3,19.9,16.2,31.6,0,2,1
Slovenia,2014,17620,53.56,7.0,8.5,13.0,13.9,-0.3,-11.6,-21.0,15.9,-17.3,7.6,15.0,23.7,-4.5,-0.7,6.4,4.1,13.4,21.8,16.6,28.3,0,2,1
Slovenia,2015,17990,53.78,8.2,9.1,14.8,14.2,-0.3,-13.0,-22.7,17.5,-18.1,8.2,16.7,23.3,-2.8,1.0,8.8,4.1,14.2,20.3,13.5,24.0,0,2,1
Slovenia,2016,18550,54.02,8.1,9.5,13.6,14.5,1.4,-17.5,-26.0,19.2,-20.2,7.8,16.9,22.5,-3.2,3.4,11.1,7.5,14.2,18.9,12.0,18.8,0,2,1
Slovenia,2017,19440,54.27,8.4,10.2,12.9,14.7,-1.2,-20.0,-26.3,20.8,-20.3,7.8,18.3,23.9,-0.3,7.1,13.7,8.3,15.5,17.8,8.2,12.8,0,2,1
Slovenia,2018,20240,54.54,9.3,11.0,14.6,15.2,2.1,-21.3,-27.0,22.4,-20.5,7.3,19.3,24.3,4.9,10.4,14.4,10.4,15.5,17.2,7.1,6.5,0,2,1
Slovenia,2019,20770,54.82,7.9,9.9,14.7,14.0,1.6,-24.2,-27.0,21.5,-22.0,7.2,19.5,24.0,3.3,12.2,14.4,13.1,15.6,16.6,5.5,3.7,0,2,1
Slovenia,2020,19740,55.12,3.1,7.4,12.1,10.9,0.6,-24.6,-27.1,19.2,-25.1,5.5,19.5,24.2,0.8,10.3,13.6,16.3,14.9,16.0,2.7,-1.4,0,2,1
Slovenia,2021,21310,55.43,3.8,9.2,8.2,11.7,-2.0,-19.0,-22.5,20.2,-16.4,3.3,19.0,24.0,-3.3,12.8,13.9,18.3,11.4,15.2,1.9,-4.0,0,2,1
Spain,2010,23040,78.44,16.2,22.4,12.2,22.3,14.0,17.5,3.0,23.5,11.1,18.0,14.7,22.5,22.6,22.2,16.4,10.1,10.5,24.2,22.2,20.0,1,2,1
Spain,2011,22770,78.67,17.6,23.6,14.4,24.2,8.8,17.7,4.5,26.5,11.0,16.0,16.0,22.8,21.9,23.1,16.4,12.5,12.8,23.5,17.8,22.5,1,2,1
Spain,2012,22080,78.9,18.7,23.9,15.0,23.6,13.2,16.4,4.5,25.9,11.3,18.1,16.9,21.9,19.4,23.6,15.0,10.5,11.3,25.9,14.7,19.5,1,2,1
Spain,2013,21850,79.13,17.8,23.4,10.8,22.4,15.2,15.5,5.0,25.6,12.0,15.2,16.6,22.6,21.4,20.5,14.6,12.1,9.5,24.9,11.3,15.8,1,2,1
Spain,2014,22220,79.37,14.9,19.9,-9.8,19.1,17.3,13.5,-3.5,21.8,12.0,12.1,13.7,18.1,18.0,19.8,14.6,6.6,7.9,22.0,17.2,12.5,1,2,1
Spain,2015,23090,79.6,14.1,19.9,-12.6,19.0,15.8,14.2,2.3,21.0,7.9,12.5,12.8,17.6,21.3,19.4,16.7,5.1,5.9,22.7,15.5,17.5,1,2,1
Spain,2016,23780,79.84,14.8,19.9,-4.7,18.1,12.2,12.4,-0.7,22.1,7.7,13.5,12.5,19.0,20.3,20.4,16.3,6.9,9.2,24.6,11.2,14.4,1,2,1
Spain,2017,24440,80.08,13.5,18.2,-8.3,16.6,15.9,12.3,-2.1,19.9,8.4,8.3,11.0,16.1,10.8,22.3,15.3,6.2,9.7,23.5,9.4,16.3,2,2,1
Spain,2018,24890,80.32,11.9,16.9,-16.1,17.0,15.1,10.5,-8.3,19.8,5.8,7.5,12.0,15.0,14.9,18.7,16.9,6.3,9.6,22.3,10.8,11.8,2,2,1
Spain,2019,25180,80.57,9.4,15.0,-20.3,14.7,12.7,8.0,-6.1,15.7,2.1,6.8,8.6,13.2,13.8,20.5,12.0,1.5,11.8,21.4,7.2,13.6,2,2,1
Spain,2020,22210,80.81,8.9,14.7,-22.9,13.8,15.1,7.8,-6.4,15.9,-2.4,5.5,7.5,13.8,14.9,20.1,14.6,3.2,12.0,23.1,7.3,10.8,2,2,1
Spain,2021,23450,81.06,8.9,14.7,-22.9,13.8,15.1,7.8,-6.4,15.9,-2.4,5.5,7.5,13.8,14.9,20.1,14.6,3.2,12.0,23.1,7.3,10.8,2,2,1
Sweden,2010,39950,85.06,15.4,12.9,5.5,8.9,10.3,2.8,1.9,14.2,4.7,8.9,14.0,32.3,11.6,18.3,8.8,10.1,11.2,13.3,11.1,13.7,2,2,0
Sweden,2011,40920,85.3,15.6,12.5,5.3,7.9,9.7,0.6,2.8,14.4,3.6,8.1,15.0,31.4,9.2,17.3,7.1,8.1,11.7,14.6,10.6,13.0,2,2,0
Sweden,2012,40380,85.62,15.5,12.1,8.1,7.8,8.0,-0.7,4.3,12.6,2.8,7.6,13.8,30.0,10.2,18.9,7.0,6.8,11.3,13.7,11.0,10.9,2,2,0
Sweden,2013,40510,85.94,14.6,11.2,6.4,7.3,8.0,-0.5,1.1,12.1,3.2,5.8,12.9,28.9,10.0,15.9,6.2,5.4,10.7,12.2,11.7,10.6,2,2,0
Sweden,2014,41180,86.25,13.8,10.4,7.6,6.9,8.8,0.6,-2.2,11.9,1.4,6.3,11.3,27.7,9.9,15.7,6.9,3.7,10.7,10.5,10.5,9.6,2,2,0
Sweden,2015,42580,86.55,14.0,10.7,5.3,5.1,9.1,-14.0,3.4,14.7,-7.0,6.2,10.6,26.0,6.6,16.9,5.5,7.2,10.2,11.8,7.8,8.3,2,2,0
Sweden,2016,42920,86.85,13.3,10.6,6.1,4.3,8.2,-12.0,5.5,14.2,1.4,6.9,11.6,26.3,6.4,14.0,5.6,7.3,8.8,9.1,7.7,7.0,2,2,0
Sweden,2017,43430,87.15,12.5,10.1,8.7,4.5,9.7,-4.0,2.8,13.9,1.3,6.9,10.1,24.5,6.5,12.2,3.7,7.1,8.5,9.3,9.0,5.6,2,2,0
Sweden,2018,43760,87.43,12.1,9.4,8.4,4.1,9.5,-16.0,0.1,13.4,0.5,5.8,8.4,24.2,4.2,12.5,1.4,7.6,8.7,8.3,8.3,7.3,2,2,0
Sweden,2019,44180,87.71,11.8,8.7,2.7,3.3,5.8,-4.9,-2.9,12.5,-1.7,3.1,8.7,25.4,6.5,11.2,2.2,4.7,8.1,8.1,7.8,7.4,2,2,0
Sweden,2020,42910,87.98,11.2,7.9,2.5,1.7,5.2,-5.6,-3.5,12.1,-1.9,5.5,9.1,25.0,5.2,12.4,1.5,4.7,8.5,7.4,7.7,7.5,2,2,0
Sweden,2021,44950,88.24,11.2,8.6,2.9,2.1,3.9,-5.7,0.3,12.1,-2.4,7.5,10.5,23.2,4.6,12.5,3.1,3.9,7.6,7.3,7.2,6.6,2,2,0
Switzerland,2010,57730,73.61,17.8,23.0,5.2,19.8,15.8,8.4,8.9,27.3,13.7,8.4,24.2,32.0,22.5,24.0,21.6,17.2,12.5,19.1,14.4,22.7,1,2,0
Switzerland,2011,58220,73.63,17.6,20.6,10.4,18.4,12.7,8.5,8.7,23.4,13.1,8.9,21.3,31.5,20.9,23.4,17.4,17.9,8.1,18.2,15.6,20.5,1,2,0
Switzerland,2012,58290,73.65,17.4,20.3,9.6,18.2,11.9,7.7,8.6,23.1,13.4,8.0,21.0,31.1,20.7,23.3,17.3,18.3,8.0,18.1,15.4,20.2,1,2,0
Switzerland,2013,58650,73.67,17.6,20.3,9.0,18.3,11.3,7.1,8.4,22.9,13.1,8.7,21.7,31.1,20.9,23.3,17.6,17.9,8.0,18.4,15.3,20.2,1,2,0
Switzerland,2014,59300,73.7,17.4,19.9,8.2,18.0,10.5,6.3,7.7,22.3,12.8,8.1,21.6,31.0,20.6,22.6,17.4,17.9,7.9,18.7,14.5,19.4,1,2,0
Switzerland,2015,59600,73.72,17.9,20.0,9.3,17.7,11.6,7.5,5.9,21.7,12.5,7.6,22.8,31.8,20.9,24.9,17.0,18.7,9.7,19.4,13.5,21.4,1,2,0
Switzerland,2016,60170,73.74,17.4,19.6,8.3,17.3,11.2,4.3,7.1,22.4,13.2,7.3,22.0,31.1,21.4,23.3,18.0,16.8,9.3,17.4,15.2,17.2,1,2,0
Switzerland,2017,60420,73.76,17.6,19.6,8.1,17.1,11.4,3.1,7.3,22.8,13.1,6.8,22.3,31.1,22.1,23.5,18.2,16.4,10.6,17.1,15.4,15.8,1,2,0
Switzerland,2018,61690,73.8,18.6,20.3,9.4,17.3,12.8,4.5,7.9,23.1,11.9,6.4,24.6,33.1,22.6,25.7,18.2,17.8,13.3,18.1,14.4,18.0,1,2,0
Switzerland,2019,61950,73.85,18.6,20.2,9.3,16.4,12.7,4.4,7.3,22.5,12.7,6.5,24.6,33.1,22.6,26.5,18.1,17.8,13.3,17.1,16.1,19.6,1,2,0
Switzerland,2020,60040,73.92,18.4,20.1,7.5,16.9,11.0,2.5,7.9,21.9,11.6,6.9,22.1,33.6,22.6,27.2,17.9,18.2,13.3,18.8,11.8,15.5,1,2,0
Switzerland,2021,62100,74.0,17.7,19.4,8.0,16.1,11.5,3.1,8.1,21.8,11.2,6.3,21.8,31.5,21.4,26.0,17.7,15.3,12.0,17.4,12.9,16.6,1,2,0
